speaker_id,duration
1050_task1,93.13318143991577
1075_task1,123.38057095267281
1150_task1,105.3639381322786
118_task1,112.57509103507375
122_task1,135.47862020985266
130_task1,94.61609712993067
135_task1,103.12160521947021
166_task1,103.51633943094714
172_task1,112.09132381278519
173_task1,97.53850916881
176_task1,134.33935971715536
181_task1,102.2344623680418
190_task1,92.8336218625423
191_task1,96.87283678666527
193_task1,148.7095985385474
197_task1,101.65652245729048
199_task1,98.02111563131648
203_task1,117.06368981238262
205_task1,112.1336619707462
208_task1,92.98299444002276
211_task1,123.02352945699849
216_task1,79.13409991218899
218_task1,108.65071937827403
219_task1,101.74750049719421
220_task1,122.93276756136237
221_task1,111.05492165564408
222_task1,126.87886141652254
228_task1,98.83910664078297
229_task1,89.13934708562624
230_task1,97.49862828358945
232_task1,88.44408453471758
237_task1,95.71564953883274
243_task1,102.22950737316114
246_task1,103.7347987761634
250_task1,94.36138772718806
251_task1,124.32488547536495
255_task1,115.00408571002113
259_task1,83.43990139408794
260_task1,103.12812005937
263_task1,93.85166575222644
264_task1,107.60081792465294
266_task1,135.93347743978296
270_task1,104.96225593794341
272_task1,109.30485592865766
282_task1,110.91254983326522
289_task1,117.58864205276863
301_task1,89.3594037453375
302_task1,106.25321491227112
303_task1,133.5402860293876
304_task1,93.25167887272107
307_task1,86.55709657696688
310_task1,118.0779943342273
313_task1,142.50145063765794
316_task1,98.71784296967493
318_task1,102.11609057240568
320_task1,114.13240107945248
321_task1,99.48210369555423
322_task1,127.67479883635733
323_task1,116.99395304079123
325_task1,130.92043790069368
326_task1,101.18902230079993
328_task1,94.30177876303581
339_task1,119.78061149788019
342_task1,97.11125891386007
343_task1,146.78218513994028
346_task1,106.03279411512122
349_task1,110.07105032046482
351_task1,96.11082815812541
352_task1,81.69789874687784
353_task1,103.75513679474597
377_task1,102.67544024408014
378_task1,66.69165250514892
379_task1,109.2706921199877
389_task1,109.97730140432816
393_task1,90.4414610766647
516_task1,125.64892222942295
651_task1,112.84324202103622
819_task1,89.46807930961471
97_task1,112.95692676550118
